platform,username,post_date,caption_text,post_type,likes,comments,hashtags,cleaned_caption,cleaned_hashtags
Instagram,shanudrie,,"Everytime I feel like cutting my hair short cus of damages, @dermaplan_academy comes up with a new treatment and change my mind💆🏻‍♀️ Trying out the latest revitalizing scalp treatment and I cant wait for my next appointment🙌🏼 Contact @dermaplan_academy for more details",Video,14600,25,#Hairtreatments #Dermaplan #scalptreatments #healthyhair,everytime i feel like cutting my hair short cus of damages dermaplanacademy comes up with a new treatment and change my mind trying out the latest revitalizing scalp treatment and i cant wait for my next appointment contact dermaplanacademy for more details,hairtreatments dermaplan scalptreatments healthyhair
Instagram,shanudrie,,Love the magic that Indian jewelry do to any outfit🪄♥️ Thank you @designerwear.by.maz for creating the beautiful outfit last minute🙌🏼,Video,16200,82,#styling #weddings #indianthemed #Indianjewelry #weddingguestoutfit,love the magic that indian jewelry do to any outfit thank you designerwearbymaz for creating the beautiful outfit last minute,styling weddings indianthemed indianjewelry weddingguestoutfit
Instagram,shanudrie,,Dreaming of my next vacay already! Any guesses where Im off to???☀️👙✈️,Video,25300,174,#Vacation #family #holidays #April #Digana #SriLanka #Travel #trips,dreaming of my next vacay already any guesses where im off to,vacation family holidays april digana srilanka travel trips
Instagram,shanudrie,03/05/2025,Its been a while since I spent some time and money at @down_town_clothing_online 💓 Perfect place to get your Avurudu gifts ready🫶🏻,Video,10800,55,#Vacation #family #holidays #April #Digana #SriLanka #Travel #trips,its been a while since i spent some time and money at downtownclothingonline perfect place to get your avurudu gifts ready,vacation family holidays april digana srilanka travel trips
Instagram,shanudrie,,"Thank you @ayanasea_srilanka for the beautiful picnic lunch made just for us. Enjoyed every bit of it🫶🏻 The food, peace and the beach will definitely bring me back to the villa!",Image,62296,190,#picnic #lunch #minivacay #wadduwa #gardens #views,thank you ayanaseasrilanka for the beautiful picnic lunch made just for us enjoyed every bit of it the food peace and the beach will definitely bring me back to the villa,picnic lunch minivacay wadduwa gardens views
Instagram,shanudrie,,Mules from @aldo_shoes brought down by @shopiraby_prabha,Image,49200,170,#grwm #mules #styling #browndress #inspo,mules from aldoshoes brought down by shopirabyprabha,grwm mules styling browndress inspo
Instagram,shanudrie,,Our grandmother's delicious Savory Rice recipe that will be passed down to the next generation😋💛 Create a video of your favorite memories with Astra and inbox us today at 0722 189 100 Whatsapp or @astrasl.insta page.,Video,13926,60,#Astra #RasaMathaka,our grandmothers delicious savory rice recipe that will be passed down to the next generation create a video of your favorite memories with astra and inbox us today at whatsapp or astraslinsta page,astra rasamathaka
Instagram,shanudrie,,Yesterday in Colombo!💞 Oversized Satin shirt from @sophie_ceylon by @gunidu_dasun,Image,33119,99,#Hair #Pink #colombo #performing #Priye,yesterday in colombo oversized satin shirt from sophieceylon by gunidudasun,hair pink colombo performing priye
Instagram,shanudrie,,Where Jelly meets Collagen🫶🏻🫱🏽‍🫲🏾🩷 Havent really discovered a more fun way to make healthy taste better! Let me know your thoughts on @jellegen too!,Video,9429,32,#Jellegen #collagen #fun #tasteBetter #motha,where jelly meets collagen havent really discovered a more fun way to make healthy taste better let me know your thoughts on jellegen too,jellegen collagen fun tastebetter motha
Instagram,shanudrie,01/12/2025,"When you're all set to go out but can't decide on which bag, slides and accessories to go with because they are all stylish, comfy and chic🫠 Before you ask; Head over to @pairedofficial to find cute stuff like this. And now you help me pick which bag, slides, accessories go with my outfit!!🙈",Image,35500,50,#bag #slides,when youre all set to go out but cant decide on which bag slides and accessories to go with because they are all stylish comfy and chic before you ask head over to pairedofficial to find cute stuff like this and now you help me pick which bag slides accessories go with my outfit,bag slides
Instagram,shanudrie,01/11/2025,සුන්දරී. Shanudrie Priyasad. Hair and makeup - Hashara Kodithuwakku. Wardrobe - Era by Eranjana. Styling/ Concept - Raffealla Fernando. Post production artist - Dilsh.,Image,21900,65,#rfcc2025 #RFCC #RaffeallaFernandoPhotography #Photography,shanudrie priyasad hair and makeup hashara kodithuwakku wardrobe era by eranjana styling concept raffealla fernando post production artist dilsh,rfcc rfcc raffeallafernandophotography photography
Instagram,shanudrie,01/12/2025,Sharing my love story and a new secret💕 Visit www.amoreclothing.lk,Video,17363,45,#Love #fashion #Amore #styling #clothing #colombo,sharing my love story and a new secret visit,love fashion amore styling clothing colombo
Instagram,shanudrie,01/09/2025,Made you look! @makeupbyhisham @gunidu.designer.wear @arantha_photography,Image,38486,221,#Portrait #shoots #moments #captures,made you look makeupbyhisham gunidudesignerwear aranthaphotography,portrait shoots moments captures
Instagram,shanudrie,,Now it doesn't matter who comes to the house because the walls are beautiful..🙈 Call @asianpaintscauseway Safe Painting service on 0777 272 272 for a FREE site evaluation,Image,19776,37,#Festive #gettingReady #holidays #newHome #painting #AsianPaints,now it doesnt matter who comes to the house because the walls are beautiful call asianpaintscauseway safe painting service on for a free site evaluation,festive gettingready holidays newhome painting asianpaints
Instagram,shanudrie,,Im sharing only the best seasonal offers with you this year😉My go-to store has better deals this🎄.Go check them out!🛍️,Video,18300,62,#ChristmasOffers #season #festive #fashionStores #styleInspo,im sharing only the best seasonal offers with you this yearmy goto store has better deals thisgo check them out,christmasoffers season festive fashionstores styleinspo
Instagram,shanudrie,,Is your hair a mystery too? The answer is in this video!,Video,5140,42,#SunsilkSL #SunsilkNaturals #Shampoo #OnionandJojobaOil #hairfall,is your hair a mystery too the answer is in this video,sunsilksl sunsilknaturals shampoo onionandjojobaoil hairfall
Instagram,shanudrie,12/12/2024,Im just a chill girl when it comes to Christmas and Shopping 🛍️🎄💖 Visit @nolimit_srilanka at CCC or the closest outlet to grab all your festive favorites before it's late!!🫶🏽,Video,13041,48,#Shopping,im just a chill girl when it comes to christmas and shopping visit nolimitsrilanka at ccc or the closest outlet to grab all your festive favorites before its late,shopping
Instagram,shanudrie,12/08/2024,Guess what's new in Sri Lanka??🥳 The cutest E-scooter from @atherenergy is finally launched here. Get your hands on this buddy to make your rides smoother and our country a better place to live🫶🏽 Checkout @atherenergy_sl for more!,Video,6369,8,#E-scooter #launchesInSL #ecoFriendly #betterCountry #newRide,guess whats new in sri lanka the cutest escooter from atherenergy is finally launched here get your hands on this buddy to make your rides smoother and our country a better place to live checkout atherenergysl for more,escooter launchesinsl ecofriendly bettercountry newride
Instagram,shanudrie,12/04/2024,There's no other way I'd spend all my savings💰🙂‍↔️ Bought almost all the essentials from @kitchenarcade_lk and I won't regret! What else do you think is missing in our kitchen now?🙈,Video,10342,32,#Homeware #kitchenware #new home #essentials #newAddiction,theres no other way id spend all my savings bought almost all the essentials from kitchenarcadelk and i wont regret what else do you think is missing in our kitchen now,homeware kitchenware new home essentials newaddiction
Instagram,luna_peech,,These VGA cards 😩🫶🏻 @msigaming_lk best ones I saw in Taiwan Computex 2025,Video,117,1,#vga #gamming,these vga cards msigaminglk best ones i saw in taiwan computex,vga gamming
Instagram,luna_peech,,Needed a Vacation after a vacation 💀 Is everything on your Rainy day checklist? @vaselinesl,Video,1192,25,#vacation ,needed a vacation after a vacation is everything on your rainy day checklist vaselinesl,vacation
Instagram,luna_peech,07/11/2025,The cargo pants and t-shirt will be released tonight at 7pm on www.flexxdesigns.com 🥰💙,Video,640,27,#t-shirt #cargoPant,the cargo pants and tshirt will be released tonight at pm on,tshirt cargopant
Instagram,luna_peech,07/10/2025,Cargo pants will be released tomorrow on www.flexxdesigns.com,Video,351,10,#cargoPant,cargo pants will be released tomorrow on,cargopant
Instagram,luna_peech,07/09/2025,Dialog Power plan එකෙන් ඔයා කැමතිම Android 5G smart phone එක දැන් 40% විතරක් ගෙවල ගෙදර අරන් යන්න පුළුවන්.” Yes? @dialoglk,Video,542,7,#power #smartphones #dialoglk,dialog power plan android g smart phone yes dialoglk,power smartphones dialoglk
Instagram,luna_peech,07/08/2025,OLED Ai care sensor ☺️💙 . I need an OLED monitor soon @msigaming_lk,Video,120,0,#msigaming #msi #srilanka #gamergirl #games,oled ai care sensor i need an oled monitor soon msigaminglk,msigaming msi srilanka gamergirl games
Instagram,luna_peech,07/07/2025,Have you tried the new Premium Chocolate in Sri Lanka that everyone is looking for? My fv is Coffee cream with cookie chunks 🥹. Celebrate World chocolate day. Add @roccoa.chocolate Ritzburry Roccoa Chocolates ☺️💙,Video,764,11,#roccoa #TasteLaVida #chocolate #premiumchocolate #cocoa,have you tried the new premium chocolate in sri lanka that everyone is looking for my fv is coffee cream with cookie chunks celebrate world chocolate day add roccoachocolate ritzburry roccoa chocolates,roccoa tastelavida chocolate premiumchocolate cocoa
Instagram,luna_peech,07/02/2025,Pinky set up 🥹💖🌸💕💗💓. Camera shy gamer girls!!!! Here's a chance to comfortably stream games ☺️☺️,Video,159,1,#msigaming #msi #srilanka #gamergirl #games,pinky set up camera shy gamer girls heres a chance to comfortably stream games,msigaming msi srilanka gamergirl games
Instagram,luna_peech,,Crazy VGA card set 😩🤌🏻 Computex 2025 in Taiwan 🇹🇼,Video,377,10,#msi #gamergirl #gamer #graphiccard #vga,crazy vga card set computex in taiwan,msi gamergirl gamer graphiccard vga
Instagram,luna_peech,,Twisted by Emily mcintire  book🌟🌟/5,Video,156,2,#book,twisted by emily mcintire book,book
Instagram,luna_peech,,The scarlet Veil Book ☺️💙,Video,305,4,#book,the scarlet veil book,book
Instagram,luna_peech,,Beauty of Joseon is now officially launching in Sri Lanka exclusively through @orionxoxolk . Yeeey ☺️💙,Video,843,9,#Beauty #body #face,beauty of joseon is now officially launching in sri lanka exclusively through orionxoxolk yeeey,beauty body face
Instagram,luna_peech,,"Luna Peech - A Spark of Sri Lankan Creativity ✨I’m a huge fan of Luna Peech, and this drawing is my small tribute to her amazing energy and creativity. She’s not just a content creator—she’s a whole vibe! ✨ From her confidence to her style and fearless personality, Luna has been such a big inspiration to me. I really enjoyed working on this and hope it captures a little of the magic she brings to all of us. 💫Thank you, Luna, for being 100% real and showing us how powerful self-expression can be. 💕🎥Luna Peech",Video,738,8,#doodloo #doodles #foryouシ #foryoupageシ #procreate #artist #art #artistsoninstagram #ArtistsOnFacebook #procreateart #draw #cute #cartoon #giftideas #gifts #illustration #Illustrator #customized #srilanka #songs #fypシ゚ #fypシ゚viralシ #trend #lunapeech #fanart #contentcreator #gamers #booktoker,luna peech a spark of sri lankan creativity im a huge fan of luna peech and this drawing is my small tribute to her amazing energy and creativity shes not just a content creatorshes a whole vibe from her confidence to her style and fearless personality luna has been such a big inspiration to me i really enjoyed working on this and hope it captures a little of the magic she brings to all of us thank you luna for being real and showing us how powerful selfexpression can be luna peech,doodloo doodles foryou foryoupage procreate artist art artistsoninstagram artistsonfacebook procreateart draw cute cartoon giftideas gifts illustration illustrator customized srilanka songs fyp fypviral trend lunapeech fanart contentcreator gamers booktoker
Instagram,luna_peech,06/12/2025,The kiss thief by L J Shen book 🌟🌟🌟.5/5,Video,193,16,#book,the kiss thief by l j shen book,book
Instagram,luna_peech,,Hair done by @hair_by_irajtoussaint ☺️💙,Video,1069,35,#Hair,hair done by hairbyirajtoussaint,hair
Instagram,luna_peech,,"For those who find it difficult to cook like us...Introducing @kitchen.mas Curry paste ranges ☺️ It's so easy, and the flavors 😩🤌🏻… fool proof 😏 Used products:- Ma’s kitchen Jaffna curry paste",Video,1488,33,#Kitchen #food,for those who find it difficult to cook like usintroducing kitchenmas curry paste ranges its so easy and the flavors fool proof used products mas kitchen jaffna curry paste,kitchen food
Instagram,luna_peech,,"You know what, I have the food🍕🍝 and I own it.",Image,276,3,#food,you know what i have the food and i own it,food
Instagram,luna_peech,08/12/2023,Soooooo good 🤌🏻🤌🏻🤌🏻 I didn’t eat the prawns ones 🥲,Image,463,5,#food,soooooo good i didnt eat the prawns ones,food
Instagram,luna_peech,,Entering to the Book girly era 👀,Image,672,8,#Book,entering to the book girly era,book
Instagram,luna_peech,07/05/2023,Ordering this coffee for the 3rd time 🫶🤌🏻😫,Image,398,0,#coffee #homebrewing #inspo #trendyzonesrilanka #caffeine,ordering this coffee for the rd time,coffee homebrewing inspo trendyzonesrilanka caffeine
Instagram,luna_peech,07/02/2023,I loooooove sweetened popcorn 🍿 😫🤌🏻,Image,686,8,#popcorn,i loooooove sweetened popcorn,popcorn
Instagram,luna_peech,,All black day. Love the @mooseclothingco tshirt 💙,Image,617,8,#tshirt,all black day love the mooseclothingco tshirt,tshirt
Instagram,luna_peech,04/07/2023,Love this hairstyle 🥹💙,Image,812,812,#hair,love this hairstyle,hair
Instagram,luna_peech,04/03/2023,mango pancakes 🥞,Image,397,2,#food,mango pancakes,food
Instagram,luna_peech,02/08/2023,Kyle loves this bag 🤭💙,Image,1262,6,#bag,kyle loves this bag,bag
Instagram,luna_peech,,Waiting for my freaking coffee 😅,Image,724,7,#coffee #homebrewing #inspo #trendyzonesrilanka #caffeine,waiting for my freaking coffee,coffee homebrewing inspo trendyzonesrilanka caffeine
Instagram,luna_peech,,Same hair 🤭,Image,304,1,#hair,same hair,hair
Instagram,luna_peech,,Breakfast in my new kitchen ☺️💙,Image,64,2,#food,breakfast in my new kitchen,food
Instagram,luna_peech,,I think i had a coffee there 🤔,Image,69,0,#coffee #homebrewing #inspo #trendyzonesrilanka #caffeine,i think i had a coffee there,coffee homebrewing inspo trendyzonesrilanka caffeine
Instagram,luna_peech,,Not to mention the blue hair days 🙈💙,Image,65,0,#hair,not to mention the blue hair days,hair
Instagram,praveenaonline,,"If you’re heading to KCC before the 31st of August and you’ve got a People’s Bank credit card… just know, you’re in for some really good perks. Quiet luxury? Maybe…",Video,1312,25,#praveenaonline #peoplesbank,if youre heading to kcc before the st of august and youve got a peoples bank credit card just know youre in for some really good perks quiet luxury maybe,praveenaonline peoplesbank
Instagram,praveenaonline,04/08/2025,Ocean’s wild child 🌊🪼💙,Image,6411,55,#praveenaonline #srilanka #visitsrilanka,oceans wild child,praveenaonline srilanka visitsrilanka
Instagram,praveenaonline,04/04/2025,Screen. Stage. Sea. There are no limits 🌊 🪸🪼,Video,1127,40,#praveenaonline #visitsrilanka #srilanka,screen stage sea there are no limits,praveenaonline visitsrilanka srilanka
Instagram,praveenaonline,,If ‘serene’ was a mood ✨🤌🏻,Image,11194,77,#praveenaonline #softaesthetic,if serene was a mood,praveenaonline softaesthetic
Instagram,praveenaonline,,Surfing gives me wings 😌🌊🏄‍♀️,Image,4195,66,#praveenaonline #surfing #weligama #srilanka,surfing gives me wings,praveenaonline surfing weligama srilanka
Instagram,praveenaonline,,Swipe for coastal chaos. 🌊🌺🌴,Image,24613,146,#praveenaonline #downsouth #srilanka #weligama #coastal #travel,swipe for coastal chaos,praveenaonline downsouth srilanka weligama coastal travel
Instagram,praveenaonline,,Ditching candlelit dinners for golden hour surf.🏄‍♀️ 🌊✨,Video,2257,61,#SeaMyValentine #praveenaonline #downsouth #weligama #srilanka,ditching candlelit dinners for golden hour surf,seamyvalentine praveenaonline downsouth weligama srilanka
Instagram,praveenaonline,01/02/2025,Education is where your future begins. Choosing the right path isn't just a decision—it's the key to success. The ICBT Edu Expo makes it easy to explore your options and plan your next steps. Be there!,Video,1057,12,#campus,education is where your future begins choosing the right path isnt just a decisionits the key to success the icbt edu expo makes it easy to explore your options and plan your next steps be there,campus
Instagram,praveenaonline,,"The most glamorous night of the year ✨ Lux Silver Night 2024, December 31st at 9pm on Sirasa TV",Video,641,9,#Lux #LuxSriLanka #SriLanka #Skin,the most glamorous night of the year lux silver night december st at pm on sirasa tv,lux luxsrilanka srilanka skin
Instagram,praveenaonline,,"Not just soap, it's a whole skincare vibe ✨ Lux = glow, confidence, and luxury in every bar 💖",Video,1473,50,#skin,not just soap its a whole skincare vibe lux glow confidence and luxury in every bar,skin
Instagram,praveenaonline,,In the mood for a saree moment 🤍🌱,Image,6867,68,#saree #praveenaonline #sareenotsorry,in the mood for a saree moment,saree praveenaonline sareenotsorry
Instagram,praveenaonline,,"Coffee first, beauty always ☕💄",Image,9552,29,#praveenaonline #coffeeholic #feelingpretty,coffee first beauty always,praveenaonline coffeeholic feelingpretty
Instagram,praveenaonline,06/01/2024,Today’s outfit feels like a hug 🩵,Image,1818,60,#outfit,todays outfit feels like a hug,outfit
Instagram,praveenaonline,,Rainy days are for cozy sweaters and warm drinks 🌈🌧️,Image,4259,20,#rain #cloching,rainy days are for cozy sweaters and warm drinks,rain cloching
Instagram,praveenaonline,,Join me and bake my favorite chocolate cake 🍫🎂 with my Frigidaire Hand Mixer and Russell Hobbs Air Fryer from Abans!,Video,530,50,#food,join me and bake my favorite chocolate cake with my frigidaire hand mixer and russell hobbs air fryer from abans,food
Instagram,praveenaonline,09/05/2023,Work Break vibes 🤎,Image,3747,65,#lily #clothing,work break vibes,lily clothing
Instagram,praveenaonline,,"Thank You @sunfm for Having Me in The Most Exclusive Yacht Party in Sri Lanka “RUMBA”. It was absolutely amazing! The sun, the breeze, and the music made it unforgettable! 🌞🌊🎉",Image,7675,110,#sunfm #sea,thank you sunfm for having me in the most exclusive yacht party in sri lanka rumba it was absolutely amazing the sun the breeze and the music made it unforgettable,sunfm sea
Instagram,praveenaonline,,"Celebrating Moose's 5th anniversary!!🎉✨They even launched a fabulous perfume called Perfect Mist! It was such an incredible night, and I'm thrilled to share all the highlights with you. Join me as we dive into the fashion and fragrance world together!",Video,1542,56,#moosefive #mooseclothingcompany #theperfectfit #theperfectmist,celebrating mooses th anniversarythey even launched a fabulous perfume called perfect mist it was such an incredible night and im thrilled to share all the highlights with you join me as we dive into the fashion and fragrance world together,moosefive mooseclothingcompany theperfectfit theperfectmist
Instagram,praveenaonline,,"Witness the dynamic collaboration of @rogermartinezmusic with our finest local lineup onboard!!! 👽 @yaga.sl will be held on the 29th July at Jetty Green, Waters Edge Colombo. 🌈 Don't miss out on this experience! See you there ✨",Image,3543,50,#yoga,witness the dynamic collaboration of rogermartinezmusic with our finest local lineup onboard yagasl will be held on the th july at jetty green waters edge colombo dont miss out on this experience see you there,yoga
Instagram,praveenaonline,,Leave the drama down there. Let’s party up here,Image,7592,30,#cloth,leave the drama down there lets party up here,cloth
Instagram,praveenaonline,,"Wake-up, Dress up and Repeat 🌈✨",Video,4098,30,#Dress,wakeup dress up and repeat,dress
Instagram,praveenaonline,04/05/2024,"I also went to NOLIMIT to do some shopping for the New Year, within my means",Video,2351,13,#cloth #shopping,i also went to nolimit to do some shopping for the new year within my means,cloth shopping
Instagram,praveenaonline,,"I bought it, drank it, enjoyed it, and returned it.. You guys should also buy it and enjoy it..",Video,5360,50, #GoodForThePlanet #GoodForThePocket #BigBuddyPack #ReturnMagic #CocaColaSL,i bought it drank it enjoyed it and returned it you guys should also buy it and enjoy it,goodfortheplanet goodforthepocket bigbuddypack returnmagic cocacolasl
Instagram,praveenaonline,02/05/2022,Like Joey I don't share my food! 🙄😂,Image,9729,30,#Dress,like joey i dont share my food,dress
Instagram,praveenaonline,,"self confidence is a super power. Once you starts to believe in yourself,magic starts happening.✨",Image,11386,40,#shopping #koko #daraz #buynowpaylater #instadaily,self confidence is a super power once you starts to believe in yourselfmagic starts happening,shopping koko daraz buynowpaylater instadaily
Instagram,praveenaonline,,My kind of perfect ✨,Image,16855,30,#dress,my kind of perfect,dress
Instagram,praveenaonline,,"The new Clogard Fresh comes with mint, cloves, cinnamon and other fresh ingredients that give it an irresistible freshness!",Video,17414,100,#Clogard #clogardfresh,the new clogard fresh comes with mint cloves cinnamon and other fresh ingredients that give it an irresistible freshness,clogard clogardfresh
Instagram,praveenaonline,12/09/2021,"Be fresher, be ready!",Video,27303,120,#Clogard #clogardfresh,be fresher be ready,clogard clogardfresh
Instagram,praveenaonline,,~Blessed~ 🌸,Image,13359,50,#dress,blessed,dress
Instagram,praveenaonline,,I’m in love with this shoot 🥺✨ thank you,Image,12338,40,#dress,im in love with this shoot thank you,dress
Instagram,_wildcookbook_,07/01/2025,Enjoying a delicious homemade Sri Lankan curry today!,Image,5200,74,#Foodie #SriLanka #ChefLife,enjoying a delicious homemade sri lankan curry today,foodie srilanka cheflife
Instagram,_wildcookbook_,07/02/2025,Creamy garlic pasta recipe coming your way 🍝🧄,Video,6800,64,#PastaLove #HomeCooking,creamy garlic pasta recipe coming your way,pastalove homecooking
Instagram,_wildcookbook_,07/03/2025,Morning coffee vibes from the hills ☕🏞️,Image,4300,94,#NuwaraEliya #CoffeeTime,morning coffee vibes from the hills,nuwaraeliya coffeetime
Instagram,_wildcookbook_,07/04/2025,Quick and easy 10-minute breakfast ideas 🍳🧇,Image,7220,333,#BreakfastClub #QuickMeals,quick and easy minute breakfast ideas,breakfastclub quickmeals
Instagram,_wildcookbook_,07/05/2025,Spicy chicken curry to spice up your day 🍛🔥,Image,5600,474,#ChickenCurry #SriLankanFood,spicy chicken curry to spice up your day,chickencurry srilankanfood
Instagram,_wildcookbook_,07/06/2025,Fresh and healthy fruit salad 🥗🍉,Video,3200,75,#MilkTeaLover #TeaTime,fresh and healthy fruit salad,milktealover teatime
Instagram,_wildcookbook_,07/07/2025,How to make the perfect cup of milk tea 🍵✨,Video,4000,95,#HealthyEating #FruitSalad,how to make the perfect cup of milk tea,healthyeating fruitsalad
Instagram,_wildcookbook_,07/08/2025,Easy lunchbox ideas for busy days 🍱💼,Image,8000,43,#LunchBoxIdeas #MealPrep,easy lunchbox ideas for busy days,lunchboxideas mealprep
Instagram,_wildcookbook_,07/09/2025,Flavorful fried rice recipe you’ll love 🍚🌶️,Video,5467,85,#FriedRiceLover #QuickFood,flavorful fried rice recipe youll love,friedricelover quickfood
Instagram,_wildcookbook_,07/10/2025,Watch me plate this dish like a pro chef 👨‍🍳📸,Video,4648,55,#FoodPlating #AestheticEats,watch me plate this dish like a pro chef,foodplating aestheticeats
Instagram,_wildcookbook_,07/11/2025,Trying out a new dessert recipe today 🍰😋,Video,4644,85,#DessertLover #SweetTooth,trying out a new dessert recipe today,dessertlover sweettooth
Instagram,_wildcookbook_,07/12/2025,Homemade spicy sambol to add a kick to your meals 🌶️,Video,7585,95,#Sambol #SpicyFood,homemade spicy sambol to add a kick to your meals,sambol spicyfood
Instagram,_wildcookbook_,,Classic Sri Lankan hopper breakfast 🥞🍳,Video,6474,85,#Hoppers #SriLankanBreakfast,classic sri lankan hopper breakfast,hoppers srilankanbreakfast
Instagram,_wildcookbook_,,Quick tips for perfect rice every time 🍚✨,Video,4658,84,#RiceCooking #KitchenHacks,quick tips for perfect rice every time,ricecooking kitchenhacks
Instagram,_wildcookbook_,,Vegan-friendly curry recipe 🌱🍛,Video,7575,86,#VeganFood #HealthyEating,veganfriendly curry recipe,veganfood healthyeating
Instagram,_wildcookbook_,,Sweet and tangy mango chutney recipe 🥭🍯,Video,4646,65,#Chutney #FruitSauce,sweet and tangy mango chutney recipe,chutney fruitsauce
Instagram,_wildcookbook_,,Cooking with fresh herbs from the garden 🌿🍽️,Video,7685,78,#FreshHerbs #GardenCooking,cooking with fresh herbs from the garden,freshherbs gardencooking
