platform,username,post_date,caption_text,post_type,likes,comments,hashtags
Instagram,shanudrie,05/03/2025,Its been a while since I spent some time and money at @down_town_clothing_online 💓 Perfect place to get your Avurudu gifts ready🫶🏻,Video,10800,55,#Vacation #family #holidays #April #Digana #SriLanka #Travel #trips
Instagram,shanudrie,14/03/2025,"Thank you @ayanasea_srilanka for the beautiful picnic lunch made just for us. Enjoyed every bit of it🫶🏻 The food, peace and the beach will definitely bring me back to the villa!",Image,62296,190,#picnic #lunch #minivacay #wadduwa #gardens #views
Instagram,shanudrie,23/02/2025,Mules from @aldo_shoes brought down by @shopiraby_prabha,Image,49200,170,#grwm #mules #styling #browndress #inspo
Instagram,shanudrie,19/02/2025,Our grandmother's delicious Savory Rice recipe that will be passed down to the next generation😋💛 Create a video of your favorite memories with Astra and inbox us today at 0722 189 100 Whatsapp or @astrasl.insta page.,Video,13926,60,#Astra #RasaMathaka
Instagram,shanudrie,16/02/2025,Yesterday in Colombo!💞 Oversized Satin shirt from @sophie_ceylon by @gunidu_dasun,Image,33119,99,#Hair #Pink #colombo #performing #Priye
Instagram,shanudrie,25/01/2025,Where Jelly meets Collagen🫶🏻🫱🏽‍🫲🏾🩷 Havent really discovered a more fun way to make healthy taste better! Let me know your thoughts on @jellegen too!,Video,9429,32,#Jellegen #collagen #fun #tasteBetter #motha
Instagram,shanudrie,12/01/2025,"When you're all set to go out but can't decide on which bag, slides and accessories to go with because they are all stylish, comfy and chic🫠 Before you ask; Head over to @pairedofficial to find cute stuff like this. And now you help me pick which bag, slides, accessories go with my outfit!!🙈",Image,35500,50,#bag #slides
Instagram,shanudrie,11/01/2025,සුන්දරී. Shanudrie Priyasad. Hair and makeup - Hashara Kodithuwakku. Wardrobe - Era by Eranjana. Styling/ Concept - Raffealla Fernando. Post production artist - Dilsh.,Image,21900,65,#rfcc2025 #RFCC #RaffeallaFernandoPhotography #Photography
Instagram,shanudrie,12/01/2025,Sharing my love story and a new secret💕 Visit www.amoreclothing.lk,Video,17363,45,#Love #fashion #Amore #styling #clothing #colombo
Instagram,shanudrie,09/01/2025,Made you look! @makeupbyhisham @gunidu.designer.wear @arantha_photography,Image,38486,221,#Portrait #shoots #moments #captures
Instagram,shanudrie,15/12/2024,Now it doesn't matter who comes to the house because the walls are beautiful..🙈 Call @asianpaintscauseway Safe Painting service on 0777 272 272 for a FREE site evaluation,Image,19776,37,#Festive #gettingReady #holidays #newHome #painting #AsianPaints
Instagram,shanudrie,13/12/2024,Im sharing only the best seasonal offers with you this year😉My go-to store has better deals this🎄.Go check them out!🛍️,Video,18300,62,#ChristmasOffers #season #festive #fashionStores #styleInspo
Instagram,shanudrie,13/12/2024,Is your hair a mystery too? The answer is in this video!,Video,5140,42,#SunsilkSL #SunsilkNaturals #Shampoo #OnionandJojobaOil #hairfall
Instagram,shanudrie,12/12/2024,Im just a chill girl when it comes to Christmas and Shopping 🛍️🎄💖 Visit @nolimit_srilanka at CCC or the closest outlet to grab all your festive favorites before it's late!!🫶🏽,Video,13041,48,#Shopping
Instagram,shanudrie,08/12/2024,Guess what's new in Sri Lanka??🥳 The cutest E-scooter from @atherenergy is finally launched here. Get your hands on this buddy to make your rides smoother and our country a better place to live🫶🏽 Checkout @atherenergy_sl for more!,Video,6369,8,#E-scooter #launchesInSL #ecoFriendly #betterCountry #newRide
Instagram,shanudrie,04/12/2024,There's no other way I'd spend all my savings💰🙂‍↔️ Bought almost all the essentials from @kitchenarcade_lk and I won't regret! What else do you think is missing in our kitchen now?🙈,Video,10342,32,#Homeware #kitchenware #new home #essentials #newAddiction
Instagram,luna_peech,17/07/2025,These VGA cards 😩🫶🏻 @msigaming_lk best ones I saw in Taiwan Computex 2025,Video,117,1,#vga #gamming
Instagram,luna_peech,15/07/2025,Needed a Vacation after a vacation 💀 Is everything on your Rainy day checklist? @vaselinesl,Video,1192,25,#vacation 
Instagram,luna_peech,11/07/2025,The cargo pants and t-shirt will be released tonight at 7pm on www.flexxdesigns.com 🥰💙,Video,640,27,#t-shirt #cargoPant
Instagram,luna_peech,10/07/2025,Cargo pants will be released tomorrow on www.flexxdesigns.com,Video,351,10,#cargoPant
Instagram,luna_peech,09/07/2025,Dialog Power plan එකෙන් ඔයා කැමතිම Android 5G smart phone එක දැන් 40% විතරක් ගෙවල ගෙදර අරන් යන්න පුළුවන්.” Yes? @dialoglk,Video,542,7,#power #smartphones #dialoglk
Instagram,luna_peech,08/07/2025,OLED Ai care sensor ☺️💙 . I need an OLED monitor soon @msigaming_lk,Video,120,0,#msigaming #msi #srilanka #gamergirl #games
Instagram,luna_peech,07/07/2025,Have you tried the new Premium Chocolate in Sri Lanka that everyone is looking for? My fv is Coffee cream with cookie chunks 🥹. Celebrate World chocolate day. Add @roccoa.chocolate Ritzburry Roccoa Chocolates ☺️💙,Video,764,11,#roccoa #TasteLaVida #chocolate #premiumchocolate #cocoa
Instagram,luna_peech,02/07/2025,Pinky set up 🥹💖🌸💕💗💓. Camera shy gamer girls!!!! Here's a chance to comfortably stream games ☺️☺️,Video,159,1,#msigaming #msi #srilanka #gamergirl #games
Instagram,luna_peech,30/06/2025,Crazy VGA card set 😩🤌🏻 Computex 2025 in Taiwan 🇹🇼,Video,377,10,#msi #gamergirl #gamer #graphiccard #vga
Instagram,luna_peech,29/06/2025,Twisted by Emily mcintire  book🌟🌟/5,Video,156,2,#book
Instagram,luna_peech,24/06/2025,The scarlet Veil Book ☺️💙,Video,305,4,#book
Instagram,luna_peech,21/06/2025,Beauty of Joseon is now officially launching in Sri Lanka exclusively through @orionxoxolk . Yeeey ☺️💙,Video,843,9,#Beauty #body #face
Instagram,luna_peech,18/06/2025,"Luna Peech - A Spark of Sri Lankan Creativity ✨I’m a huge fan of Luna Peech, and this drawing is my small tribute to her amazing energy and creativity. She’s not just a content creator—she’s a whole vibe! ✨ From her confidence to her style and fearless personality, Luna has been such a big inspiration to me. I really enjoyed working on this and hope it captures a little of the magic she brings to all of us. 💫Thank you, Luna, for being 100% real and showing us how powerful self-expression can be. 💕🎥Luna Peech",Video,738,8,#doodloo #doodles #foryouシ #foryoupageシ #procreate #artist #art #artistsoninstagram #ArtistsOnFacebook #procreateart #draw #cute #cartoon #giftideas #gifts #illustration #Illustrator #customized #srilanka #songs #fypシ゚ #fypシ゚viralシ #trend #lunapeech #fanart #contentcreator #gamers #booktoker
Instagram,luna_peech,12/06/2025,The kiss thief by L J Shen book 🌟🌟🌟.5/5,Video,193,16,#book
Instagram,luna_peech,13/06/2025,Hair done by @hair_by_irajtoussaint ☺️💙,Video,1069,35,#Hair
Instagram,luna_peech,14/05/2025,"For those who find it difficult to cook like us...Introducing @kitchen.mas Curry paste ranges ☺️ It's so easy, and the flavors 😩🤌🏻… fool proof 😏 Used products:- Ma’s kitchen Jaffna curry paste",Video,1488,33,#Kitchen #food
Instagram,luna_peech,28/08/2023,"You know what, I have the food🍕🍝 and I own it.",Image,276,3,#food
Instagram,luna_peech,12/08/2023,Soooooo good 🤌🏻🤌🏻🤌🏻 I didn’t eat the prawns ones 🥲,Image,463,5,#food
Instagram,luna_peech,30/07/2023,Entering to the Book girly era 👀,Image,672,8,#Book
Instagram,luna_peech,05/07/2023,Ordering this coffee for the 3rd time 🫶🤌🏻😫,Image,398,0,#coffee #homebrewing #inspo #trendyzonesrilanka #caffeine
Instagram,luna_peech,02/07/2023,I loooooove sweetened popcorn 🍿 😫🤌🏻,Image,686,8,#popcorn
Instagram,luna_peech,24/04/2023,All black day. Love the @mooseclothingco tshirt 💙,Image,617,8,#tshirt
Instagram,luna_peech,07/04/2023,Love this hairstyle 🥹💙,Image,812,812,#hair
Instagram,luna_peech,03/04/2023,mango pancakes 🥞,Image,397,2,#food
Instagram,luna_peech,08/02/2023,Kyle loves this bag 🤭💙,Image,1262,6,#bag
Instagram,luna_peech,29/01/2023,Waiting for my freaking coffee 😅,Image,724,7,#coffee #homebrewing #inspo #trendyzonesrilanka #caffeine
Instagram,luna_peech,15/12/2022,Same hair 🤭,Image,304,1,#hair
Instagram,luna_peech,24/04/2022,Breakfast in my new kitchen ☺️💙,Image,64,2,#food
Instagram,luna_peech,15/03/2022,I think i had a coffee there 🤔,Image,69,0,#coffee #homebrewing #inspo #trendyzonesrilanka #caffeine
Instagram,luna_peech,15/03/2022,Not to mention the blue hair days 🙈💙,Image,65,0,#hair
Instagram,praveenaonline,20/08/2025,"If you’re heading to KCC before the 31st of August and you’ve got a People’s Bank credit card… just know, you’re in for some really good perks. Quiet luxury? Maybe…",Video,1312,25,#praveenaonline #peoplesbank
Instagram,praveenaonline,08/04/2025,Ocean’s wild child 🌊🪼💙,Image,6411,55,#praveenaonline #srilanka #visitsrilanka
Instagram,praveenaonline,04/04/2025,Screen. Stage. Sea. There are no limits 🌊 🪸🪼,Video,1127,40,#praveenaonline #visitsrilanka #srilanka
Instagram,praveenaonline,16/03/2025,If ‘serene’ was a mood ✨🤌🏻,Image,11194,77,#praveenaonline #softaesthetic
Instagram,praveenaonline,19/02/2025,Surfing gives me wings 😌🌊🏄‍♀️,Image,4195,66,#praveenaonline #surfing #weligama #srilanka
Instagram,praveenaonline,16/02/2025,Swipe for coastal chaos. 🌊🌺🌴,Image,24613,146,#praveenaonline #downsouth #srilanka #weligama #coastal #travel
Instagram,praveenaonline,14/02/2025,Ditching candlelit dinners for golden hour surf.🏄‍♀️ 🌊✨,Video,2257,61,#SeaMyValentine #praveenaonline #downsouth #weligama #srilanka
Instagram,praveenaonline,02/01/2025,Education is where your future begins. Choosing the right path isn't just a decision—it's the key to success. The ICBT Edu Expo makes it easy to explore your options and plan your next steps. Be there!,Video,1057,12,#campus
Instagram,praveenaonline,30/12/2024,"The most glamorous night of the year ✨ Lux Silver Night 2024, December 31st at 9pm on Sirasa TV",Video,641,9,#Lux #LuxSriLanka #SriLanka #Skin
Instagram,praveenaonline,24/11/2024,"Not just soap, it's a whole skincare vibe ✨ Lux = glow, confidence, and luxury in every bar 💖",Video,1473,50,#skin
Instagram,praveenaonline,24/08/2024,In the mood for a saree moment 🤍🌱,Image,6867,68,#saree #praveenaonline #sareenotsorry
Instagram,praveenaonline,19/07/2024,"Coffee first, beauty always ☕💄",Image,9552,29,#praveenaonline #coffeeholic #feelingpretty
Instagram,praveenaonline,01/06/2024,Today’s outfit feels like a hug 🩵,Image,1818,60,#outfit
Instagram,praveenaonline,24/05/2024,Rainy days are for cozy sweaters and warm drinks 🌈🌧️,Image,4259,20,#rain #cloching
Instagram,praveenaonline,14/09/2023,Join me and bake my favorite chocolate cake 🍫🎂 with my Frigidaire Hand Mixer and Russell Hobbs Air Fryer from Abans!,Video,530,50,#food
Instagram,praveenaonline,05/09/2023,Work Break vibes 🤎,Image,3747,65,#lily #clothing
Instagram,praveenaonline,19/08/2023,"Thank You @sunfm for Having Me in The Most Exclusive Yacht Party in Sri Lanka “RUMBA”. It was absolutely amazing! The sun, the breeze, and the music made it unforgettable! 🌞🌊🎉",Image,7675,110,#sunfm #sea
Instagram,praveenaonline,17/08/2023,"Celebrating Moose's 5th anniversary!!🎉✨They even launched a fabulous perfume called Perfect Mist! It was such an incredible night, and I'm thrilled to share all the highlights with you. Join me as we dive into the fashion and fragrance world together!",Video,1542,56,#moosefive #mooseclothingcompany #theperfectfit #theperfectmist
Instagram,praveenaonline,22/07/2023,"Witness the dynamic collaboration of @rogermartinezmusic with our finest local lineup onboard!!! 👽 @yaga.sl will be held on the 29th July at Jetty Green, Waters Edge Colombo. 🌈 Don't miss out on this experience! See you there ✨",Image,3543,50,#yoga
Instagram,praveenaonline,15/07/2023,Leave the drama down there. Let’s party up here,Image,7592,30,#cloth
Instagram,praveenaonline,24/05/2023,"Wake-up, Dress up and Repeat 🌈✨",Video,4098,30,#Dress
Instagram,praveenaonline,05/04/2024,"I also went to NOLIMIT to do some shopping for the New Year, within my means",Video,2351,13,#cloth #shopping
Instagram,praveenaonline,15/12/2022,"I bought it, drank it, enjoyed it, and returned it.. You guys should also buy it and enjoy it..",Video,5360,50, #GoodForThePlanet #GoodForThePocket #BigBuddyPack #ReturnMagic #CocaColaSL
Instagram,praveenaonline,05/02/2022,Like Joey I don't share my food! 🙄😂,Image,9729,30,#Dress
Instagram,praveenaonline,25/01/2022,"self confidence is a super power. Once you starts to believe in yourself,magic starts happening.✨",Image,11386,40,#shopping #koko #daraz #buynowpaylater #instadaily
Instagram,praveenaonline,26/12/2021,My kind of perfect ✨,Image,16855,30,#dress
Instagram,praveenaonline,14/12/2021,"The new Clogard Fresh comes with mint, cloves, cinnamon and other fresh ingredients that give it an irresistible freshness!",Video,17414,100,#Clogard #clogardfresh
Instagram,praveenaonline,09/12/2021,"Be fresher, be ready!",Video,27303,120,#Clogard #clogardfresh
Instagram,praveenaonline,28/07/2021,~Blessed~ 🌸,Image,13359,50,#dress
Instagram,praveenaonline,20/07/2021,I’m in love with this shoot 🥺✨ thank you,Image,12338,40,#dress
Instagram,_wildcookbook_,01/07/2025,Enjoying a delicious homemade Sri Lankan curry today!,Image,5200,74,#Foodie #SriLanka #ChefLife
Instagram,_wildcookbook_,02/07/2025,Creamy garlic pasta recipe coming your way 🍝🧄,Video,6800,64,#PastaLove #HomeCooking
Instagram,_wildcookbook_,03/07/2025,Morning coffee vibes from the hills ☕🏞️,Image,4300,94,#NuwaraEliya #CoffeeTime
Instagram,_wildcookbook_,04/07/2025,Quick and easy 10-minute breakfast ideas 🍳🧇,Image,7220,333,#BreakfastClub #QuickMeals
Instagram,_wildcookbook_,05/07/2025,Spicy chicken curry to spice up your day 🍛🔥,Image,5600,474,#ChickenCurry #SriLankanFood
Instagram,_wildcookbook_,06/07/2025,Fresh and healthy fruit salad 🥗🍉,Video,3200,75,#MilkTeaLover #TeaTime
Instagram,_wildcookbook_,07/07/2025,How to make the perfect cup of milk tea 🍵✨,Video,4000,95,#HealthyEating #FruitSalad
Instagram,_wildcookbook_,08/07/2025,Easy lunchbox ideas for busy days 🍱💼,Image,8000,43,#LunchBoxIdeas #MealPrep
Instagram,_wildcookbook_,09/07/2025,Flavorful fried rice recipe you’ll love 🍚🌶️,Video,5467,85,#FriedRiceLover #QuickFood
Instagram,_wildcookbook_,10/07/2025,Watch me plate this dish like a pro chef 👨‍🍳📸,Video,4648,55,#FoodPlating #AestheticEats
Instagram,_wildcookbook_,11/07/2025,Trying out a new dessert recipe today 🍰😋,Video,4644,85,#DessertLover #SweetTooth
Instagram,_wildcookbook_,12/07/2025,Homemade spicy sambol to add a kick to your meals 🌶️,Video,7585,95,#Sambol #SpicyFood
Instagram,_wildcookbook_,13/07/2025,Classic Sri Lankan hopper breakfast 🥞🍳,Video,6474,85,#Hoppers #SriLankanBreakfast
Instagram,_wildcookbook_,14/07/2025,Quick tips for perfect rice every time 🍚✨,Video,4658,84,#RiceCooking #KitchenHacks
Instagram,_wildcookbook_,15/07/2025,Vegan-friendly curry recipe 🌱🍛,Video,7575,86,#VeganFood #HealthyEating
Instagram,_wildcookbook_,16/07/2025,Sweet and tangy mango chutney recipe 🥭🍯,Video,4646,65,#Chutney #FruitSauce
Instagram,_wildcookbook_,17/07/2025,Cooking with fresh herbs from the garden 🌿🍽️,Video,7685,78,#FreshHerbs #GardenCooking
Instagram,_wildcookbook_,18/07/2025,Street food style chicken skewers for your next BBQ 🍢🔥,Image,5564,57,#BBQ #ChickenSkewers
Instagram,_wildcookbook_,19/07/2025,Traditional fish ambul thiyal made easy 🐟🍛,Image,5755,100,#FishCurry #SriLankanCuisine
Instagram,_wildcookbook_,20/07/2025,Breakfast smoothie bowls to start your day right 🍓🥣,Image,9464,294,#DevilledPrawns #SpicyFood
Instagram,_wildcookbook_,21/07/2025,Homemade spicy devilled prawns recipe 🦐🔥,Image,3537,555,#DevilledPrawns #SpicyFood
Instagram,_wildcookbook_,22/07/2025,Tips for perfect dosa every time 🥞🍽️,Image,4454,575,#DosaRecipe #IndianFood
Instagram,_wildcookbook_,23/07/2025,Quick and easy salad dressings 🥗🥄,Image,2523,55,#SaladDressings #HealthyEating
Instagram,_wildcookbook_,24/07/2025,Sunday roast dinner ideas 🍖🍷,Image,3762,75,#SundayRoast #ComfortFood
Instagram,_wildcookbook_,25/07/2025,Sweet potato fries – the perfect snack 🍟✨,Video,4647,66,#SweetPotatoFries #SnackTime
Instagram,_wildcookbook_,26/07/2025,How to make crispy fried chicken at home 🍗🔥,Video,4364,87,#FriedChicken #HomeCooking
Instagram,_wildcookbook_,27/07/2025,Refreshing lemon mint cooler for hot days 🍋🌿,Video,3474,54,#LemonMint #RefreshingDrinks
Instagram,_wildcookbook_,28/07/2025,Chocolate lava cake recipe for dessert lovers 🍫🍰,Video,4765,65,#ChocolateCake #DessertTime
Instagram,_wildcookbook_,29/07/2025,Grilled vegetable skewers with herb marinade 🍆🍢,Video,5756,87,#GrilledVeggies #HealthyEating
Instagram,_wildcookbook_,30/07/2025,Homemade bread baking tips for beginners 🍞🥖,Video,5757,65,#GrilledVeggies #HealthyEating
Instagram,yohanimusic,01/08/2025,New single out now! Check it out and share your thoughts 🎶🎤,Image,7464,86,#NewMusic #SingleRelease #Yohani
Instagram,yohanimusic,02/08/2025,Live session from the studio 🎸🎧,Video,3437,97,#LiveMusic #StudioSession #Acoustic
Instagram,yohanimusic,03/08/2025,Feeling grateful for all your love and support ❤️🙏,Video,18000,43,#ThankYou #FansLove
Instagram,yohanimusic,04/08/2025,Behind the scenes of my latest music video 🎬🎵,Image,18383,456,#MusicVideo #BTS
Instagram,yohanimusic,05/08/2025,Singing my heart out during last night’s concert 🎤🔥,Video,4376,6767,#LiveConcert #MusicPassion
Instagram,yohanimusic,06/08/2025,Acoustic vibes to brighten your day 🎸🌞,Video,34833,788,#Acoustic #GoodVibes
Instagram,yohanimusic,07/08/2025,Sharing a snippet from my upcoming track 🎧🎶,Video,3746,453,#UpcomingMusic #SneakPeek
Instagram,yohanimusic,08/08/2025,Throwback to my first ever performance 🎤🎶,Video,37444,43,#Throwback #FirstPerformance
Instagram,yohanimusic,09/08/2025,Music is the language of the soul 🎵❤️	,Image,5476,53,#Throwback #FirstPerformance
Instagram,yohanimusic,10/08/2025,Music is the language of the soul 🎵❤️,Image,5455,466,#Songwriting #NewMelodies
Instagram,yohanimusic,11/08/2025,Late night studio vibes 🎧🌙,Video,5457,565,#StudioLife #MusicCreation
Instagram,yohanimusic,12/08/2025,My favorite lyrics from the new song 📝🎶,Image,4587,44,#Lyrics #Songwriting
Instagram,yohanimusic,13/08/2025,Collaborating with amazing artists this month 🎤🤝,Image,4575,53,#Collaboration #MusicCommunity
Instagram,yohanimusic,14/08/2025,Grateful for all the concert memories 🎶❤️,Video,75685,45,#ConcertMemories #Gratitude
Instagram,yohanimusic,15/08/2025,Music is my passion and my life 🎵🔥,Video,45755,35,#Passion #MusicLife
Instagram,yohanimusic,16/08/2025,Covering a classic tune with my own style 🎸🎤,Video,47555,35,#CoverSong #MusicStyle
Instagram,yohanimusic,17/08/2025,Sneak peek of the new album coming soon 🎧🎶,Video,5757,35,#NewAlbum #ComingSoon
Instagram,yohanimusic,18/08/2025,Practicing daily to improve my craft 🎹🎼,Video,4554,345,"#Practice #MusicianLife
"
Instagram,yohanimusic,19/08/2025,Thank you for the endless love and support ❤️🙏,Video,45454,35,#FanLove #ThankYou
Instagram,yohanimusic,20/08/2025,Performing live is the best feeling ever 🎤🔥,Video,4545,6,#LivePerformance #MusicEnergy
Instagram,yohanimusic,21/08/2025,Throwback to the early days of my music journey 🎶🎤,Video,4546,7,#Throwback #MusicJourney
Instagram,yohanimusic,22/08/2025,Writing lyrics under the stars 🌟📝,Video,57465,7,#Songwriting #Inspiration
Instagram,yohanimusic,23/08/2025,Music heals the soul ❤️🎵,Video,45645,5,#MusicTherapy #SoulHealing
Instagram,yohanimusic,24/08/2025,Ready for the next big show! 🎤🎉,Video,6454,5,#ConcertReady #Excited
Instagram,yohanimusic,25/08/2025,Celebrating milestones with my amazing fans 🎉❤️,Video,342,555,#Milestones #FanLove
Instagram,yohanimusic,26/08/2025,New music inspirations coming your way soon 🎶🔥,Image,767867,55,#MusicInspo #ComingSoon
Instagram,yohanimusic,27/08/2025,Studio day! Loving the creative energy here 🎧🎼,Image,4534,46,#StudioLife #CreativeProcess
Instagram,yohanimusic,28/08/2025,Sharing some personal stories behind my songs 🎤📖,Video,67645,46,#Storytelling #BehindTheMusic
Instagram,yohanimusic,29/08/2025,Excited to release new tracks soon! Stay tuned 🎶✨,Image,4545,554,#NewReleases #StayTuned
Instagram,yohanimusic,30/08/2025,Thank you all for being part of this journey ❤️🙏,Video,34,54,#Grateful #MusicJourney
Instagram,umariaofficial,17/08/2025,Grateful for all your love ❤️ Sharing my new album vibes!,Image,34545,55,#NewAlbum #Grateful
Instagram,umariaofficial,18/08/2025,Proud to be the face of @luxbeauty Sri Lanka! Loving their products!,Image,4564,546,#LuxBeauty #Ad #Sponsored
Instagram,umariaofficial,19/08/2025,Morning yoga routine keeps me energized 🧘‍♀️✨,Image,45453,4534,#YogaLife #HealthyLiving
Instagram,umariaofficial,20/08/2025,Behind the scenes of my latest music video 🎬🎶,Video,43456,56,#MusicVideo #BTS
Instagram,umariaofficial,21/08/2025,Celebrating success with @redbull SL! Boost your energy ⚡️,Video,4567,4545,#RedBull #Ad #EnergyDrink
Instagram,umariaofficial,22/08/2025,Sharing some relaxing moments with my family ❤️,Video,465675,53,#FamilyTime #Blessed
Instagram,umariaofficial,23/08/2025,Excited to partner with @sunsilk for amazing hair care!,Video,6556,534,#Sunsilk #HairCare #Sponsored
Instagram,umariaofficial,24/08/2025,"Late night studio vibes, working hard on new tracks 🎧🎵",Video,3534,535,#StudioLife #MusicCreation
Instagram,umariaofficial,25/08/2025,Can’t live without my morning coffee ☕️ Thanks @starbuckslk!,Video,66756,66,#Starbucks #Ad #MorningRoutine
Instagram,umariaofficial,26/08/2025,Feeling the love from my fans ❤️🙏,Video,564,645,#FanLove #ThankYou
Instagram,umariaofficial,27/08/2025,Throwback to my first concert 🎤🎶,Video,456576,56,#Throwback #ConcertMemories
Instagram,umariaofficial,28/08/2025,Energize your day with @redbull SL! ⚡️,Video,6567,454,#RedBull #Energy #Ad
Instagram,umariaofficial,29/08/2025,Sharing my skincare routine with @niveasl,Video,4564,46556,#Nivea #Skincare #Sponsored
Instagram,umariaofficial,30/08/2025,Family weekend getaway vibes ❤️🏞️,Video,553,565,#FamilyTime #Weekend
Instagram,umariaofficial,31/08/2025,New single release is out now! 🎶,Video,4665,645,#NewSingle #Music
Instagram,umariaofficial,01/09/2025,"Proud ambassador of @luxbeauty, feel the glow!",Image,46464,464,#LuxBeauty #Sponsored
Instagram,umariaofficial,02/09/2025,Sharing my favorite healthy recipes 🥗,Image,4635,64,#HealthyEating #Lifestyle
Instagram,umariaofficial,03/09/2025,Collaboration day with amazing artists! 🎤🎵,Image,3565,46,#Collaboration #MusicCommunity
Instagram,umariaofficial,04/09/2025,Loving the energy boost from @redbull SL! ⚡️,Image,6454,67,#RedBull #EnergyDrink #Ad
Instagram,umariaofficial,05/09/2025,Studio vibes with my band 🎧🎶,Image,4566,456,#StudioLife #Music
Instagram,umariaofficial,06/09/2025,Relaxing at home with my pets 🐾❤️,Image,56,45646,#PetLove #HomeLife
Instagram,umariaofficial,07/09/2025,Excited to announce my partnership with @sunsilk!,Image,56757,46,#Sunsilk #HairCare #Sponsored
Instagram,umariaofficial,08/09/2025,Early morning meditation keeps me grounded 🧘‍♀️,Video,64,6,#Meditation #Mindfulness
Instagram,umariaofficial,09/09/2025,Throwback to my award-winning performance 🎤🏆,Video,6,456,#AwardWinning #Throwback
Instagram,umariaofficial,10/09/2025,Enjoying a cup of @starbuckslk coffee during rehearsal ☕️,Video,6464,6,#Starbucks #CoffeeLover
Instagram,umariaofficial,11/09/2025,Feeling inspired while writing new songs 🎹🎼,Video,4645,546,#Songwriting #Inspiration
